Field of View,Cell ID,X,Y,Region,louvain,celltype,cellname
0,1,1305.7,414.98,Cortex,13,Excitatory neuron,0_1
0,2,669.51,457.53,Cortex,3,Excitatory neuron,0_2
0,3,1185.9,507.11,Cortex,3,Excitatory neuron,0_3
0,4,710.24,533.06,Cortex,7,Interneuron,0_4
0,5,763.87,569.15,Cortex,6,Excitatory neuron,0_5
0,6,1142.4,742.97,Cortex,7,Interneuron,0_6
0,7,957.71,755.66,Cortex,3,Excitatory neuron,0_7
0,8,1725.4,764.51,Cortex,7,Interneuron,0_8
0,9,806.56,828.27,Cortex,3,Excitatory neuron,0_9
0,10,1800.1,854.41,Cortex,3,Excitatory neuron,0_10
0,11,1886.0,844.88,Cortex,3,Excitatory neuron,0_11
0,12,950.97,863.93,Cortex,3,Excitatory neuron,0_12
0,13,593.51,884.54,Cortex,20,Microglia,0_13
0,14,1596.5,918.18,Cortex,3,Excitatory neuron,0_14
0,15,1021.4,931.14,Cortex,3,Excitatory neuron,0_15
0,16,1696.0,944.12,Cortex,7,Interneuron,0_16
0,17,391.16,972.08,Cortex,19,Astrocytes,0_17
0,18,597.81,1001.1,Cortex,3,Excitatory neuron,0_18
0,19,1865.2,1009.6,Cortex,20,Microglia,0_19
0,20,469.54,1022.3,Cortex,9,Excitatory neuron,0_20
0,21,1636.6,1029.2,Cortex,3,Excitatory neuron,0_21
0,22,344.12,1041.0,Cortex,7,Interneuron,0_22
0,23,1293.3,1054.1,Cortex,2,Endothelial,0_23
0,24,1378.9,1066.2,Cortex,7,Interneuron,0_24
0,25,1594.2,1108.4,Cortex,6,Excitatory neuron,0_25
0,26,822.23,1124.2,Cortex,7,Interneuron,0_26
0,27,560.36,1123.7,Cortex,6,Excitatory neuron,0_27
0,28,742.3,1134.5,Cortex,6,Excitatory neuron,0_28
0,29,1751.6,1133.9,Cortex,3,Excitatory neuron,0_29
0,30,668.36,1165.0,Cortex,6,Excitatory neuron,0_30
0,31,241.57,1236.5,Cortex,3,Excitatory neuron,0_31
0,32,624.11,1246.1,Cortex,3,Excitatory neuron,0_32
0,33,103.12,1244.6,Cortex,3,Excitatory neuron,0_33
0,34,449.39,1248.8,Cortex,3,Excitatory neuron,0_34
0,35,1342.6,1294.3,Cortex,2,Endothelial,0_35
0,36,407.86,1342.5,Cortex,23,Interneuron,0_36
0,37,894.7,1428.8,Cortex,10,Astrocytes,0_37
0,38,1272.8,1436.4,Cortex,2,Endothelial,0_38
0,39,1363.8,1434.1,Cortex,20,Microglia,0_39
0,40,421.27,1481.6,Cortex,10,Astrocytes,0_40
0,41,271.42,1493.4,Cortex,3,Excitatory neuron,0_41
0,42,1069.0,1515.1,Cortex,10,Astrocytes,0_42
0,43,426.59,1586.4,Cortex,10,Astrocytes,0_43
0,44,669.71,1629.6,Cortex,2,Endothelial,0_44
0,45,782.61,1687.7,Cortex,10,Astrocytes,0_45
0,46,228.25,1698.9,Cortex,20,Microglia,0_46
0,47,442.86,1692.8,Cortex,7,Interneuron,0_47
0,48,973.21,1705.6,Cortex,10,Astrocytes,0_48
0,49,1201.2,1726.0,Cortex,7,Interneuron,0_49
0,50,854.77,1725.6,Cortex,20,Microglia,0_50
0,51,855.84,122.03,Cortex,10,Astrocytes,0_51
0,52,469.57,208.95,Cortex,3,Excitatory neuron,0_52
0,53,1090.2,215.81,Cortex,7,Interneuron,0_53
0,54,267.56,245.42,Cortex,25,Oligo Precursor,0_54
0,55,981.25,261.05,Cortex,3,Excitatory neuron,0_55
0,56,390.59,277.05,Cortex,13,Excitatory neuron,0_56
0,57,1117.0,312.56,Cortex,3,Excitatory neuron,0_57
0,58,520.51,359.75,Cortex,3,Excitatory neuron,0_58
0,59,980.24,382.43,Cortex,3,Excitatory neuron,0_59
0,60,799.96,389.1,Cortex,7,Interneuron,0_60
0,61,527.31,538.48,Cortex,3,Excitatory neuron,0_61
0,62,621.1,564.33,Cortex,7,Interneuron,0_62
0,63,571.13,677.51,Cortex,3,Excitatory neuron,0_63
0,64,1458.0,207.93,Cortex,3,Excitatory neuron,0_64
0,65,1738.7,244.68,Cortex,13,Excitatory neuron,0_65
0,66,1561.7,242.0,Cortex,20,Microglia,0_66
0,67,1319.2,234.32,Cortex,13,Excitatory neuron,0_67
0,68,1875.4,249.56,Cortex,6,Excitatory neuron,0_68
0,69,1428.9,334.44,Cortex,3,Excitatory neuron,0_69
0,70,152.2,367.61,Cortex,6,Excitatory neuron,0_70
0,71,334.16,397.61,Cortex,6,Excitatory neuron,0_71
0,72,1623.4,414.97,Cortex,13,Excitatory neuron,0_72
0,73,228.45,471.04,Cortex,9,Excitatory neuron,0_73
0,74,1829.6,471.16,Cortex,3,Excitatory neuron,0_74
0,75,1741.8,490.58,Cortex,6,Excitatory neuron,0_75
0,76,1418.1,480.91,Cortex,6,Excitatory neuron,0_76
0,77,363.87,495.87,Cortex,6,Excitatory neuron,0_77
0,78,291.89,554.35,Cortex,20,Microglia,0_78
0,79,1745.0,572.24,Cortex,3,Excitatory neuron,0_79
0,80,1617.6,580.99,Cortex,3,Excitatory neuron,0_80
0,81,1238.0,597.74,Cortex,6,Excitatory neuron,0_81
0,82,1875.9,589.25,Cortex,6,Excitatory neuron,0_82
0,83,402.8,589.35,Cortex,6,Excitatory neuron,0_83
0,84,238.72,602.18,Cortex,6,Excitatory neuron,0_84
0,85,1298.3,606.25,Cortex,3,Excitatory neuron,0_85
0,86,1401.0,619.94,Cortex,7,Interneuron,0_86
0,87,312.93,632.17,Cortex,2,Endothelial,0_87
0,88,448.36,646.88,Cortex,9,Excitatory neuron,0_88
0,89,699.92,689.47,Cortex,3,Excitatory neuron,0_89
