"","Rect_code","Rect_index","X","Y"
"0","0_0",0,250,250
"1","0_1",1,250,750
"2","0_2",2,250,1250
"3","0_3",3,250,1750
"7","1_0",7,750,250
"8","1_1",8,750,750
"9","1_2",9,750,1250
"10","1_3",10,750,1750
"14","2_0",14,1250,250
"15","2_1",15,1250,750
"16","2_2",16,1250,1250
"17","2_3",17,1250,1750
"21","3_0",21,1750,250
"22","3_1",22,1750,750
"23","3_2",23,1750,1250
"24","3_3",24,1750,1750
"28","4_0",28,2250,250
"29","4_1",29,2250,750
"30","4_2",30,2250,1250
"31","4_3",31,2250,1750
"35","5_0",35,2750,250
"36","5_1",36,2750,750
"37","5_2",37,2750,1250
"38","5_3",38,2750,1750
"42","6_0",42,3250,250
"43","6_1",43,3250,750
"44","6_2",44,3250,1250
"45","6_3",45,3250,1750
"49","7_0",49,3750,250
"50","7_1",50,3750,750
"51","7_2",51,3750,1250
"52","7_3",52,3750,1750
"56","8_0",56,4250,250
"57","8_1",57,4250,750
"58","8_2",58,4250,1250
"59","8_3",59,4250,1750
"63","9_0",63,4750,250
"64","9_1",64,4750,750
"65","9_2",65,4750,1250
"66","9_3",66,4750,1750
"70","10_0",70,5250,250
"71","10_1",71,5250,750
"72","10_2",72,5250,1250
"73","10_3",73,5250,1750
"77","11_0",77,5750,250
"78","11_1",78,5750,750
"79","11_2",79,5750,1250
"80","11_3",80,5750,1750
"81","11_4",81,5750,2250
"82","11_5",82,5750,2750
"83","11_6",83,5750,3250
"84","12_0",84,6250,250
"85","12_1",85,6250,750
"86","12_2",86,6250,1250
"87","12_3",87,6250,1750
"88","12_4",88,6250,2250
"89","12_5",89,6250,2750
"90","12_6",90,6250,3250
"91","13_0",91,6750,250
"92","13_1",92,6750,750
"93","13_2",93,6750,1250
"94","13_3",94,6750,1750
"95","13_4",95,6750,2250
"96","13_5",96,6750,2750
"97","13_6",97,6750,3250
"101","14_3",101,7250,1750
"102","14_4",102,7250,2250
"103","14_5",103,7250,2750
"104","14_6",104,7250,3250
"109","15_4",109,7750,2250
"110","15_5",110,7750,2750
