index,louvain
0,10
1,3
2,1
3,15
4,5
5,25
6,3
7,10
8,17
9,11
10,17
11,10
12,10
13,22
14,2
15,23
16,23
17,12
18,17
19,10
20,17
21,3
22,17
23,10
24,3
25,3
26,12
27,12
28,9
29,3
30,12
31,12
32,9
33,10
34,20
35,10
36,9
37,20
38,24
39,24
40,24
41,24
42,24
43,20
44,24
45,24
46,24
47,24
48,24
49,12
50,24
51,24
52,24
53,24
54,24
55,9
56,24
57,12
58,24
59,12
60,9
61,9
62,9
63,12
64,9
65,9
66,25
67,3
68,14
69,23
70,10
71,3
72,10
73,3
74,12
75,3
76,10
77,3
78,23
79,23
80,23
81,12
82,3
83,3
84,10
85,3
86,3
87,12
88,9
89,3
90,3
91,8
92,10
93,14
94,9
95,20
96,3
97,2
98,9
99,9
100,9
101,9
102,8
103,20
104,9
105,9
106,9
107,9
108,12
109,9
110,9
111,9
112,9
113,3
114,3
115,3
116,1
117,10
118,3
119,3
120,12
121,23
122,3
123,12
124,3
125,12
126,23
127,3
128,3
129,3
130,23
131,14
132,1
133,3
134,10
135,3
136,3
137,23
138,3
139,11
140,3
141,3
142,3
143,3
144,11
145,3
146,3
147,23
148,5
149,23
150,12
151,20
152,3
153,3
154,3
155,3
156,10
157,9
158,23
159,20
160,3
161,3
162,12
163,9
164,9
165,9
166,24
167,24
168,9
169,10
170,4
171,5
172,10
173,10
174,10
175,12
176,25
177,3
178,3
179,3
180,10
181,20
182,20
183,10
184,3
185,3
186,1
187,17
188,3
189,10
190,23
191,3
192,8
193,3
194,3
195,10
196,12
197,10
198,3
199,3
200,3
201,12
202,3
203,12
204,12
205,3
206,9
207,10
208,14
209,10
210,23
211,9
212,9
213,9
214,9
215,9
216,9
217,9
218,9
219,9
220,3
221,20
222,12
223,12
224,24
225,24
226,12
227,12
228,9
229,9
230,12
231,9
232,24
233,10
234,24
235,9
236,24
237,9
238,9
239,3
240,9
241,3
242,9
243,9
244,3
245,9
246,3
247,9
248,3
249,3
250,3
251,17
252,14
253,2
254,16
255,7
256,25
257,25
258,6
259,14
260,1
261,15
262,6
263,8
264,7
265,1
266,25
267,7
268,14
269,16
270,14
271,13
272,2
273,6
274,10
275,14
276,8
277,18
278,13
279,4
280,2
281,11
282,5
283,7
284,14
285,11
286,11
287,14
288,6
289,4
290,5
291,4
292,6
293,2
294,11
295,19
296,14
297,4
298,5
299,8
300,19
301,11
302,11
303,6
304,7
305,4
306,7
307,19
308,5
309,1
310,14
311,13
312,2
313,6
314,21
315,14
316,6
317,11
318,7
319,15
320,14
321,1
322,21
323,2
324,19
325,11
326,1
327,19
328,16
329,5
330,7
331,6
332,19
333,6
334,6
335,7
336,7
337,7
338,14
339,2
340,6
341,4
342,11
343,25
344,21
345,14
346,6
347,13
348,8
349,3
350,4
351,1
352,4
353,16
354,6
355,6
356,7
357,21
358,2
359,14
360,11
361,14
362,4
363,1
364,6
365,19
366,20
367,7
368,7
369,2
370,6
371,5
372,15
373,11
374,18
375,20
376,14
377,7
378,4
379,4
380,22
381,8
382,7
383,2
384,7
385,21
386,16
387,4
388,14
389,6
390,6
391,4
392,7
393,7
394,14
395,6
396,14
397,2
398,7
399,4
400,4
401,19
402,4
403,2
404,13
405,14
406,6
407,18
408,14
409,19
410,19
411,1
412,12
413,7
414,7
415,18
416,1
417,16
418,2
419,6
420,8
421,4
422,7
423,12
424,10
425,18
426,2
427,16
428,5
429,15
430,5
431,4
432,14
433,13
434,16
435,2
436,11
437,18
438,4
439,5
440,1
441,20
442,21
443,19
444,10
445,1
446,1
447,5
448,8
449,6
450,14
451,15
452,7
453,25
454,4
455,14
456,6
457,13
458,2
459,25
460,7
461,7
462,7
463,6
464,6
465,4
466,7
467,6
468,6
469,6
470,11
471,12
472,18
473,8
474,6
475,11
476,1
477,6
478,4
479,19
480,7
481,4
482,7
483,15
484,15
485,2
486,6
487,2
488,2
489,7
490,8
491,14
492,14
493,14
494,7
495,2
496,4
497,4
498,6
499,20
500,8
501,14
502,7
503,4
504,15
505,10
506,7
507,19
508,6
509,6
510,7
511,6
512,19
513,8
514,8
515,2
516,8
517,16
518,2
519,15
520,11
521,2
522,7
523,4
524,7
525,10
526,1
527,6
528,14
529,6
530,5
531,1
532,21
533,7
534,11
535,10
536,6
537,1
538,13
539,5
540,21
541,5
542,1
543,4
544,4
545,8
546,4
547,8
548,15
549,5
550,2
551,14
552,5
553,8
554,25
555,16
556,5
557,11
558,13
559,19
560,7
561,11
562,5
563,2
564,16
565,21
566,16
567,6
568,6
569,13
570,4
571,4
572,11
573,10
574,13
575,16
576,6
577,13
578,2
579,5
580,8
581,2
582,1
583,4
584,13
585,19
586,2
587,13
588,22
589,1
590,2
591,4
592,5
593,4
594,16
595,6
596,21
597,21
598,6
599,1
600,13
601,11
602,2
603,16
604,20
605,19
606,15
607,16
608,1
609,4
610,7
611,1
612,1
613,1
614,8
615,7
616,15
617,1
618,11
619,15
620,4
621,7
622,4
623,2
624,2
625,19
626,7
627,4
