Field of View,Cell ID,X,Y,Region,louvain,celltype,cellname,grid,spot
0,54,267.56,245.42,Cortex,25,Oligodendrocytes,0_54,1_1,1
0,70,152.2,367.61,Cortex,6,Excitatory neuron,0_70,1_2,2
0,73,228.45,471.04,Cortex,9,Excitatory neuron,0_73,1_2,2
0,84,238.72,602.18,Cortex,6,Excitatory neuron,0_84,1_3,3
6,42,254.13,660.79,Choroid Plexus,1,Endothelial,6_42,1_4,4
0,93,191.29,802.62,Cortex,6,Excitatory neuron,0_93,1_4,4
6,49,202.05,756.78,Choroid Plexus,1,Endothelial,6_49,1_4,4
4,91,258.56,955.12,Cortex,11,Excitatory neuron,4_91,1_5,5
0,98,266.0,875.11,Cortex,3,Excitatory neuron,0_98,1_5,5
2,74,257.98,941.94,Cortex,12,Excitatory neuron,2_74,1_5,5
5,89,197.86,841.12,SVZ,2,Endothelial,5_89,1_5,5
6,6,271.67,838.14,Choroid Plexus,1,Endothelial,6_6,1_5,5
3,59,271.68,1131.0,Cortex,5,Excitatory neuron,3_59,1_6,6
1,65,176.2,1138.3,Cortex,9,Excitatory neuron,1_65,1_6,6
4,92,230.15,1139.9,Cortex,5,Excitatory neuron,4_92,1_6,6
0,111,234.96,1152.6,Cortex,6,Excitatory neuron,0_111,1_6,6
0,109,280.75,1107.6,Cortex,3,Excitatory neuron,0_109,1_6,6
0,108,113.16,1090.7,Cortex,13,Excitatory neuron,0_108,1_6,6
1,62,247.23,1111.9,Cortex,9,Excitatory neuron,1_62,1_6,6
0,33,103.12,1244.6,Cortex,3,Excitatory neuron,0_33,1_7,7
0,31,241.57,1236.5,Cortex,3,Excitatory neuron,0_31,1_7,7
1,73,224.88,1256.6,Cortex,9,Excitatory neuron,1_73,1_7,7
2,78,174.8,1240.0,Cortex,18,Excitatory neuron,2_78,1_7,7
0,41,271.42,1493.4,Cortex,3,Excitatory neuron,0_41,1_8,8
2,82,212.18,1495.6,Cortex,12,Excitatory neuron,2_82,1_8,8
4,94,197.26,1435.4,Cortex,19,Astrocytes,4_94,1_8,8
0,46,228.25,1698.9,Cortex,20,Microglia,0_46,1_9,9
0,52,469.57,208.95,Cortex,3,Excitatory neuron,0_52,2_1,11
0,56,390.59,277.05,Cortex,13,Excitatory neuron,0_56,2_1,11
3,11,352.2,411.06,Cortex,5,Excitatory neuron,3_11,2_2,12
0,71,334.16,397.61,Cortex,6,Excitatory neuron,0_71,2_2,12
4,90,401.07,396.26,Cortex,10,Astrocytes,4_90,2_2,12
0,77,363.87,495.87,Cortex,6,Excitatory neuron,0_77,2_3,13
1,31,376.66,602.42,Cortex,19,Astrocytes,1_31,2_3,13
0,88,448.36,646.88,Cortex,9,Excitatory neuron,0_88,2_3,13
0,83,402.8,589.35,Cortex,6,Excitatory neuron,0_83,2_3,13
5,70,415.9,528.74,SVZ,7,Interneuron,5_70,2_3,13
2,67,420.87,649.9,Cortex,9,Excitatory neuron,2_67,2_3,13
6,37,454.92,576.67,Choroid Plexus,1,Endothelial,6_37,2_3,13
2,68,325.13,651.95,Cortex,23,Interneuron,2_68,2_3,13
3,21,432.99,647.71,Cortex,5,Excitatory neuron,3_21,2_3,13
6,39,324.02,594.87,Choroid Plexus,1,Endothelial,6_39,2_3,13
0,78,291.89,554.35,Cortex,20,Microglia,0_78,2_3,13
1,32,301.91,647.45,Cortex,6,Excitatory neuron,1_32,2_3,13
5,77,310.11,619.77,SVZ,10,Astrocytes,5_77,2_3,13
0,87,312.93,632.17,Cortex,2,Endothelial,0_87,2_3,13
3,38,469.33,821.01,Cortex,2,Endothelial,3_38,2_4,14
6,43,443.96,660.93,Choroid Plexus,1,Endothelial,6_43,2_4,14
5,88,289.1,830.86,SVZ,7,Interneuron,5_88,2_4,14
1,35,407.08,690.47,Cortex,9,Excitatory neuron,1_35,2_4,14
2,70,300.32,799.03,Cortex,8,Astrocytes,2_70,2_4,14
6,44,380.39,678.69,Choroid Plexus,1,Endothelial,6_44,2_4,14
0,91,370.94,707.28,Cortex,3,Excitatory neuron,0_91,2_4,14
3,29,366.31,731.25,Cortex,20,Microglia,3_29,2_4,14
5,156,465.62,790.69,SVZ,15,Interneuron,5_156,2_4,14
5,83,364.9,749.52,SVZ,7,Interneuron,5_83,2_4,14
6,47,323.03,729.66,Choroid Plexus,1,Endothelial,6_47,2_4,14
6,7,317.41,943.07,Choroid Plexus,1,Endothelial,6_7,2_5,15
5,172,427.64,893.97,SVZ,15,Interneuron,5_172,2_5,15
5,92,334.21,912.41,SVZ,15,Interneuron,5_92,2_5,15
3,50,336.15,925.75,Cortex,11,Excitatory neuron,3_50,2_5,15
1,51,289.92,1001.6,Cortex,19,Astrocytes,1_51,2_5,15
2,73,414.39,898.37,Cortex,18,Excitatory neuron,2_73,2_5,15
0,100,446.9,904.75,Cortex,10,Astrocytes,0_100,2_5,15
5,95,408.08,972.32,SVZ,23,Interneuron,5_95,2_5,15
6,8,407.83,1007.4,Choroid Plexus,1,Endothelial,6_8,2_5,15
5,189,347.56,958.13,SVZ,14,Astrocytes,5_189,2_5,15
0,17,391.16,972.08,Cortex,19,Astrocytes,0_17,2_5,15
1,42,451.05,845.44,Cortex,10,Astrocytes,1_42,2_5,15
1,47,366.94,972.24,Cortex,9,Excitatory neuron,1_47,2_5,15
5,90,370.67,863.92,SVZ,15,Interneuron,5_90,2_5,15
5,96,376.77,1000.9,SVZ,2,Endothelial,5_96,2_5,15
0,96,374.81,836.35,Cortex,3,Excitatory neuron,0_96,2_5,15
5,186,457.33,943.03,SVZ,11,Excitatory neuron,5_186,2_5,15
1,41,375.37,848.23,Cortex,9,Excitatory neuron,1_41,2_5,15
5,213,452.61,1050.3,SVZ,14,Astrocytes,5_213,2_6,16
5,234,430.84,1141.7,SVZ,15,Interneuron,5_234,2_6,16
5,224,438.82,1096.8,SVZ,21,Excitatory neuron,5_224,2_6,16
4,37,360.99,1112.3,Cortex,10,Astrocytes,4_37,2_6,16
3,55,413.05,1088.1,Cortex,4,Excitatory neuron,3_55,2_6,16
5,98,354.42,1041.8,SVZ,12,Excitatory neuron,5_98,2_6,16
0,112,404.65,1155.9,Cortex,3,Excitatory neuron,0_112,2_6,16
0,22,344.12,1041.0,Cortex,7,Interneuron,0_22,2_6,16
5,210,405.72,1044.8,SVZ,12,Excitatory neuron,5_210,2_6,16
1,68,324.83,1171.1,Cortex,9,Excitatory neuron,1_68,2_6,16
4,41,401.67,1186.7,Cortex,4,Excitatory neuron,4_41,2_6,16
5,225,379.99,1098.7,SVZ,17,Excitatory neuron,5_225,2_6,16
1,53,397.93,1044.7,Cortex,10,Astrocytes,1_53,2_6,16
0,20,469.54,1022.3,Cortex,9,Excitatory neuron,0_20,2_6,16
0,36,407.86,1342.5,Cortex,23,Interneuron,0_36,2_7,17
4,48,433.74,1281.7,Cortex,4,Excitatory neuron,4_48,2_7,17
1,70,427.71,1198.8,Cortex,3,Excitatory neuron,1_70,2_7,17
6,17,427.49,1318.8,Choroid Plexus,1,Endothelial,6_17,2_7,17
1,80,368.95,1337.0,Cortex,2,Endothelial,1_80,2_7,17
1,77,440.01,1288.7,Cortex,6,Excitatory neuron,1_77,2_7,17
0,34,449.39,1248.8,Cortex,3,Excitatory neuron,0_34,2_7,17
5,246,416.6,1202.9,SVZ,17,Excitatory neuron,5_246,2_7,17
4,49,357.85,1335.5,Cortex,5,Excitatory neuron,4_49,2_7,17
3,73,432.49,1328.1,Cortex,14,Astrocytes,3_73,2_7,17
5,243,466.23,1193.2,SVZ,24,Interneuron,5_243,2_7,17
4,59,458.62,1505.2,Cortex,18,Excitatory neuron,4_59,2_8,18
1,92,464.69,1475.3,Cortex,6,Excitatory neuron,1_92,2_8,18
5,107,407.8,1444.9,SVZ,14,Astrocytes,5_107,2_8,18
2,83,355.41,1509.6,Cortex,8,Astrocytes,2_83,2_8,18
6,25,370.57,1546.4,Choroid Plexus,1,Endothelial,6_25,2_8,18
3,75,303.16,1387.8,Cortex,11,Excitatory neuron,3_75,2_8,18
0,40,421.27,1481.6,Cortex,10,Astrocytes,0_40,2_8,18
5,109,411.79,1530.5,SVZ,16,Oligodendrocytes,5_109,2_8,18
3,84,430.62,1531.7,Cortex,5,Excitatory neuron,3_84,2_8,18
6,19,387.5,1381.1,Choroid Plexus,1,Endothelial,6_19,2_8,18
6,21,387.68,1453.5,Choroid Plexus,1,Endothelial,6_21,2_8,18
2,86,374.85,1718.7,Cortex,18,Excitatory neuron,2_86,2_9,19
6,108,389.93,1667.5,Choroid Plexus,1,Endothelial,6_108,2_9,19
4,95,435.9,1670.1,Cortex,5,Excitatory neuron,4_95,2_9,19
6,109,447.85,1672.3,Choroid Plexus,20,Microglia,6_109,2_9,19
0,47,442.86,1692.8,Cortex,7,Interneuron,0_47,2_9,19
6,27,440.33,1557.9,Choroid Plexus,1,Endothelial,6_27,2_9,19
3,91,422.92,1624.4,Cortex,4,Excitatory neuron,3_91,2_9,19
0,43,426.59,1586.4,Cortex,10,Astrocytes,0_43,2_9,19
5,280,342.92,1682.3,SVZ,14,Astrocytes,5_280,2_9,19
5,115,466.77,1721.0,SVZ,16,Oligodendrocytes,5_115,2_9,19
4,99,296.98,1871.0,Cortex,11,Excitatory neuron,4_99,2_10,20
3,100,325.14,1766.7,Cortex,18,Excitatory neuron,3_100,2_10,20
4,96,471.56,1766.3,Cortex,5,Excitatory neuron,4_96,2_10,20
4,100,456.62,1881.5,Cortex,11,Excitatory neuron,4_100,2_10,20
2,88,411.24,1829.3,Cortex,23,Interneuron,2_88,2_10,20
3,96,447.82,1730.5,Cortex,23,Interneuron,3_96,2_10,20
2,58,520.95,164.22,Cortex,13,Excitatory neuron,2_58,3_1,21
2,59,623.17,186.34,Cortex,8,Astrocytes,2_59,3_1,21
5,57,602.76,271.27,SVZ,7,Interneuron,5_57,3_1,21
2,61,551.91,318.44,Cortex,5,Excitatory neuron,2_61,3_2,22
5,65,560.14,427.05,SVZ,7,Interneuron,5_65,3_2,22
2,65,573.52,448.74,Cortex,19,Astrocytes,2_65,3_2,22
0,58,520.51,359.75,Cortex,3,Excitatory neuron,0_58,3_2,22
4,7,637.7,403.88,Cortex,16,Oligodendrocytes,4_7,3_2,22
4,66,516.36,460.09,Cortex,16,Oligodendrocytes,4_66,3_2,22
2,62,633.05,351.02,Cortex,10,Astrocytes,2_62,3_2,22
6,38,595.53,588.0,Choroid Plexus,1,Endothelial,6_38,3_3,23
3,17,653.28,565.94,Cortex,5,Excitatory neuron,3_17,3_3,23
0,61,527.31,538.48,Cortex,3,Excitatory neuron,0_61,3_3,23
4,67,501.54,549.3,Cortex,11,Excitatory neuron,4_67,3_3,23
5,69,532.17,521.5,SVZ,7,Interneuron,5_69,3_3,23
0,62,621.1,564.33,Cortex,7,Interneuron,0_62,3_3,23
2,66,539.39,579.98,Cortex,4,Excitatory neuron,2_66,3_3,23
4,14,649.07,568.45,Cortex,4,Excitatory neuron,4_14,3_3,23
5,162,601.2,823.12,SVZ,8,Astrocytes,5_162,3_4,24
0,63,571.13,677.51,Cortex,3,Excitatory neuron,0_63,3_4,24
4,23,572.9,779.29,Cortex,4,Excitatory neuron,4_23,3_4,24
1,9,594.86,688.87,Cortex,9,Excitatory neuron,1_9,3_4,24
5,80,648.65,660.05,SVZ,10,Astrocytes,5_80,3_4,24
4,19,594.37,678.13,Cortex,11,Excitatory neuron,4_19,3_4,24
5,157,555.58,788.12,SVZ,7,Interneuron,5_157,3_4,24
1,8,495.56,678.78,Cortex,2,Endothelial,1_8,3_4,24
3,34,482.59,770.78,Cortex,2,Endothelial,3_34,3_4,24
5,165,617.23,857.67,SVZ,12,Excitatory neuron,5_165,3_5,25
3,49,499.0,934.52,Cortex,19,Astrocytes,3_49,3_5,25
5,175,503.13,903.63,SVZ,17,Excitatory neuron,5_175,3_5,25
5,7,570.19,879.8,SVZ,12,Excitatory neuron,5_7,3_5,25
2,16,568.71,905.37,Cortex,18,Excitatory neuron,2_16,3_5,25
0,13,593.51,884.54,Cortex,20,Microglia,0_13,3_5,25
0,18,597.81,1001.1,Cortex,3,Excitatory neuron,0_18,3_5,25
2,20,493.04,1010.5,Cortex,7,Interneuron,2_20,3_5,25
1,43,508.2,854.1,Cortex,3,Excitatory neuron,1_43,3_5,25
5,8,614.6,902.81,SVZ,12,Excitatory neuron,5_8,3_5,25
5,181,551.75,931.78,SVZ,17,Excitatory neuron,5_181,3_5,25
5,11,575.12,976.99,SVZ,21,Excitatory neuron,5_11,3_5,25
1,12,575.64,836.86,Cortex,6,Excitatory neuron,1_12,3_5,25
5,6,542.23,855.84,SVZ,22,Endothelial,5_6,3_5,25
5,15,659.27,1007.2,SVZ,17,Excitatory neuron,5_15,3_5,25
5,193,524.04,968.91,SVZ,15,Interneuron,5_193,3_5,25
5,14,481.27,993.4,SVZ,11,Excitatory neuron,5_14,3_5,25
1,49,513.53,979.4,Cortex,20,Microglia,1_49,3_5,25
3,42,475.36,880.24,Cortex,10,Astrocytes,3_42,3_5,25
2,25,490.18,1135.7,Cortex,18,Excitatory neuron,2_25,3_6,26
3,62,580.9,1156.0,Cortex,4,Excitatory neuron,3_62,3_6,26
4,43,649.14,1187.4,Cortex,4,Excitatory neuron,4_43,3_6,26
5,18,640.93,1033.4,SVZ,24,Interneuron,5_18,3_6,26
5,27,619.76,1120.4,SVZ,14,Astrocytes,5_27,3_6,26
5,219,494.96,1090.2,SVZ,21,Excitatory neuron,5_219,3_6,26
5,20,601.66,1058.3,SVZ,14,Astrocytes,5_20,3_6,26
6,67,637.47,1107.5,Choroid Plexus,1,Endothelial,6_67,3_6,26
5,239,483.26,1161.4,SVZ,23,Interneuron,5_239,3_6,26
3,60,475.72,1146.1,Cortex,4,Excitatory neuron,3_60,3_6,26
3,54,520.84,1054.7,Cortex,4,Excitatory neuron,3_54,3_6,26
