"","x"
"0",2.15223314113089e-35
"1",9.32902898813218e-35
"2",0
"3",2.85349369304931e-36
"7",0
"8",0
"9",0
"10",0
"14",0
"15",0
"16",0
"17",0
"21",0
"22",0
"23",0
"24",0
"28",0
"29",0
"30",0
"31",0
"35",0
"36",0
"37",0
"38",0
"42",0
"43",0
"44",0
"45",0
"49",0
"50",0
"51",0
"52",0
"56",0
"57",0
"58",0
"59",0
"63",0
"64",0
"65",0
"66",0
"70",0
"71",0
"72",0
"73",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"101",0
"102",0
"103",0
"104",5.8454339836814e-34
"109",6.7665749939396e-35
"110",0
